id	status	operation	parents	val_bpb	best_parent_val_bpb	delta_vs_best_parent	hypothesis
exp_000018	finished	expand	exp_000015	1.898332	1.896984	0.0013479999999999048	Extend the linear learning-rate warmdown from 90% to 95% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, further reducing late-stage overshoot and lowering val_bpb.
exp_000019	finished	expand	exp_000016	1.90036	1.909486	-0.009125999999999967	Extending the linear learning-rate warmdown from 95% to 100% of the fixed-time run should reduce late-stage overshoot further by applying gradually smaller updates throughout the run, lowering val_bpb while preserving the parent improvement over the 50% baseline.
exp_000020	finished	merge	exp_000011,exp_000017	1.898923	1.896472	0.002450999999999981	Extend the linear learning-rate warmdown to 95% of training progress, preserving the improvement from the 90% setting while applying smaller updates across more of the final optimization phase to reduce late-stage overshoot and lower val_bpb.
exp_000021	finished	expand	exp_000020	1.900689	1.898923	0.0017660000000001563	Extending the linear learning-rate warmdown from 95% to 100% of training progress will apply gradually smaller updates throughout the run, reducing late-stage overshoot and lowering val_bpb while preserving the parent improvement.
exp_000022	finished	expand	exp_000014	1.90026	1.898553	0.001707000000000125	Extending the linear learning-rate warmdown from 95% to 100% of training progress will use gradually smaller updates throughout the run, reducing late-stage overshoot and lowering val_bpb.
exp_000023	finished	merge	exp_000018,exp_000019	1.915339	1.898332	0.017006999999999994	The two hypotheses are compatible sequential extensions of the same linear learning-rate warmdown: combining them sets WARMDOWN_RATIO to 1.0, applying gradually smaller updates across the full fixed-time run and incorporating the 90%-to-95% improvement while extending it through the final 5%.
exp_000024	finished	expand	exp_000014	1.898372	1.898553	-0.00018099999999998673	Extending the linear learning-rate warmdown from 95% to 100% of training progress will reduce the learning rate throughout the run, using smaller updates during the late optimization phase and lowering val_bpb by reducing late-stage overshoot.
exp_000025	finished	merge	exp_000014,exp_000022	1.898248	1.898553	-0.0003049999999999997	Extend the linear learning-rate warmdown to 100% of training progress, combining the sequential 90%-to-95% and 95%-to-100% extensions so updates decrease throughout the run and reduce late-stage overshoot, lowering val_bpb.
exp_000026	finished	expand	exp_000024	1.904339	1.898372	0.005967000000000056	Reducing MATRIX_LR from 0.04 to 0.036 will make Muon updates to matrix parameters smaller, complementing the parent's full-run linear warmdown and reducing residual late-stage overshoot, thereby lowering val_bpb.
exp_000027	finished	merge	exp_000026,exp_000025	1.903838	1.898248	0.005589999999999984	The hypotheses are distinct and compatible: retain the full-run linear warmdown (WARMDOWN_RATIO=1.0, ending at FINAL_LR_FRAC=0.0) and reduce Muon matrix learning rate to 0.036 to further limit late-stage matrix-update overshoot and lower val_bpb.
exp_000028	finished	merge	exp_000017,exp_000022	1.900852	1.89951	0.0013419999999999543	The hypotheses are distinct and compatible sequential extensions: preserve the 95% warmdown improvement from A and extend it to 100% as proposed by B, applying progressively smaller learning-rate updates through the entire run to reduce late-stage overshoot and lower val_bpb.
exp_000029	finished	expand	exp_000028	1.917019	1.900852	0.016167000000000042	Preserving the parent’s full-run warmdown while changing the learning-rate decay from linear to quadratic will apply smaller updates earlier and increasingly conservative updates late in training, reducing overshoot and lowering val_bpb.
exp_000030	finished	expand	exp_000015	1.898985	1.896984	0.0020009999999999195	Extend the linear learning-rate warmdown from 90% to 95% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, further reducing late-stage overshoot and lowering val_bpb.
