attempt_index	timestamp_utc	candidate_id	parent_1	parent_2	parent_1_val_bpb	parent_2_val_bpb	parent_1_modification	parent_2_modification	merge_proposal	status	reject_or_failure_summary	reason_source	child_val_bpb	delta_best_parent
11	2026-09-17T16:52:51+00:00	exp_000012	exp_000006	exp_000011	1.901868	1.909989	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
12	2026-09-17T17:06:06+00:00	exp_000013	exp_000001	exp_000012	1.912973	1.902106	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce overly aggressive matrix updates, improving optimization stability and lowering validation bits per byte.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.04 to 0.03 improves optimization stability, and a further reduction to 0.025 should additionally reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	preparation_failure	agent accepted the experiment without changing train.py	agent_log_and_dag		
13	2026-09-17T17:06:44+00:00	exp_000014	exp_000004	exp_000006	1.895905	1.901868	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	ancestor/descendant refinement on the same MATRIX_LR parameter [ancestor_descendant_same_parameter_refinement]	inferred_from_parent_commits		
14	2026-09-17T17:07:11+00:00	exp_000014	exp_000006	exp_000012	1.901868	1.902106	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
15	2026-09-17T17:33:04+00:00	exp_000016	exp_000004	exp_000012	1.895905	1.902106	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Lowering the Muon matrix learning rate from 0.04 to 0.025 through the compatible intermediate setting of 0.03 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	finished	accepted by agent	agent_log_and_dag	1.902077	0.006172000000000066
16	2026-09-17T17:58:52+00:00	exp_000018	exp_000011	exp_000017	1.909989	1.906532	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	Reducing the Muon matrix learning rate from 0.025 to 0.020 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
17	2026-09-17T17:59:28+00:00	exp_000018	exp_000009	exp_000016	1.906027	1.902077	Further lowering the Muon matrix learning rate from 0.03 to 0.02 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Lowering the Muon matrix learning rate from 0.04 to 0.025 through the compatible intermediate setting of 0.03 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	The two ideas are compatible sequential reductions of the Muon matrix learning rate: lowering it through 0.03 to 0.025 and then further to 0.02 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	finished	accepted by agent	agent_log_and_dag	1.906611	0.004534000000000038
18	2026-09-17T18:12:12+00:00	exp_000019	exp_000005	exp_000006	1.901637	1.901868	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
19	2026-09-17T18:12:47+00:00	exp_000019	exp_000005	exp_000012	1.901637	1.902106	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
20	2026-09-17T18:13:26+00:00	exp_000019	exp_000014	exp_000015	1.90638	1.90187	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Further lowering the Muon matrix learning rate from 0.03 to 0.025 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
21	2026-09-17T18:26:55+00:00	exp_000020	exp_000005	exp_000016	1.901637	1.902077	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Lowering the Muon matrix learning rate from 0.04 to 0.025 through the compatible intermediate setting of 0.03 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
22	2026-09-17T18:40:12+00:00	exp_000021	exp_000014	exp_000016	1.90638	1.902077	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Lowering the Muon matrix learning rate from 0.04 to 0.025 through the compatible intermediate setting of 0.03 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
23	2026-09-17T19:19:41+00:00	exp_000024	exp_000004	exp_000020	1.895905	1.906433	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	ancestor/descendant refinement on the same MATRIX_LR parameter [ancestor_descendant_same_parameter_refinement]	inferred_from_parent_commits		
24	2026-09-17T19:20:12+00:00	exp_000024	exp_000018	exp_000021	1.906611	1.909924	The two ideas are compatible sequential reductions of the Muon matrix learning rate: lowering it through 0.03 to 0.025 and then further to 0.02 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Lowering the Muon matrix learning rate from 0.02 to 0.015 should further reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Sequentially lowering the Muon matrix learning rate through 0.03, 0.025, 0.02, and finally 0.015 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	finished	accepted by agent	agent_log_and_dag	1.909717	0.003106000000000053
25	2026-09-17T19:45:47+00:00	exp_000026	exp_000011	exp_000025	1.909989	1.912602	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	Further lowering the Muon matrix learning rate from 0.015 to 0.010 should reduce the remaining late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
26	2026-09-17T19:46:19+00:00	exp_000026	exp_000011	exp_000015	1.909989	1.90187	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	Further lowering the Muon matrix learning rate from 0.03 to 0.025 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
27	2026-09-17T20:01:14+00:00	exp_000027	exp_000004	exp_000025	1.895905	1.912602	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Further lowering the Muon matrix learning rate from 0.015 to 0.010 should reduce the remaining late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	ancestor/descendant refinement on the same MATRIX_LR parameter [ancestor_descendant_same_parameter_refinement]	inferred_from_parent_commits		
28	2026-09-17T20:02:15+00:00	exp_000027	exp_000005	exp_000017	1.901637	1.906532	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.025 to 0.020 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
29	2026-09-17T20:02:52+00:00	exp_000027	exp_000004	exp_000018	1.895905	1.906611	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	The two ideas are compatible sequential reductions of the Muon matrix learning rate: lowering it through 0.03 to 0.025 and then further to 0.02 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	The ideas are distinct and compatible sequential reductions of the Muon matrix learning rate: reduce it from 0.04 to 0.03, then through 0.025 to 0.02, to reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	finished	accepted by agent	agent_log_and_dag	1.919107	0.023201999999999945
30	2026-09-17T20:32:57+00:00	exp_000029	exp_000015	exp_000022	1.90187	1.909868	Further lowering the Muon matrix learning rate from 0.03 to 0.025 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.02 to 0.015 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
31	2026-09-17T20:33:25+00:00	exp_000029	exp_000012	exp_000015	1.902106	1.90187	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Further lowering the Muon matrix learning rate from 0.03 to 0.025 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
32	2026-09-17T20:34:00+00:00	exp_000029	exp_000009	exp_000020	1.906027	1.906433	Further lowering the Muon matrix learning rate from 0.03 to 0.02 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
33	2026-09-17T20:34:35+00:00	exp_000029	exp_000004	exp_000014	1.895905	1.90638	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	ancestor/descendant refinement on the same MATRIX_LR parameter [ancestor_descendant_same_parameter_refinement]	inferred_from_parent_commits		
34	2026-09-17T20:35:07+00:00	exp_000029	exp_000012	exp_000016	1.902106	1.902077	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Lowering the Muon matrix learning rate from 0.04 to 0.025 through the compatible intermediate setting of 0.03 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
35	2026-09-17T20:48:36+00:00	exp_000030	exp_000009	exp_000017	1.906027	1.906532	Further lowering the Muon matrix learning rate from 0.03 to 0.02 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.025 to 0.020 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
36	2026-09-17T21:03:39+00:00	exp_000031	exp_000020	exp_000029	1.906433	1.905898	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	same effective MATRIX_LR; no composable difference [exact_same_effective_setting]	inferred_from_parent_commits		
