id	status	operation	parents	val_bpb	best_parent_val_bpb	delta_vs_best_parent	hypothesis
exp_000017	finished	expand	exp_000006	1.906532	1.901868	0.0046640000000000015	Reducing the Muon matrix learning rate from 0.025 to 0.020 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000018	finished	merge	exp_000009,exp_000016	1.906611	1.902077	0.004534000000000038	The two ideas are compatible sequential reductions of the Muon matrix learning rate: lowering it through 0.03 to 0.025 and then further to 0.02 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000019	finished	expand	exp_000009	1.909912	1.906027	0.0038850000000001383	Further lowering the Muon matrix learning rate from 0.02 to 0.015 should continue reducing residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000020	finished	expand	exp_000005	1.906433	1.901637	0.0047960000000000225	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000021	finished	expand	exp_000009	1.909924	1.906027	0.0038970000000000393	Lowering the Muon matrix learning rate from 0.02 to 0.015 should further reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000022	finished	expand	exp_000020	1.909868	1.906433	0.003434999999999855	Reducing the Muon matrix learning rate from 0.02 to 0.015 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000023	finished	expand	exp_000014	1.909673	1.90638	0.0032929999999999904	Reducing the Muon matrix learning rate from 0.02 to 0.015 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000024	finished	merge	exp_000018,exp_000021	1.909717	1.906611	0.003106000000000053	Sequentially lowering the Muon matrix learning rate through 0.03, 0.025, 0.02, and finally 0.015 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000025	finished	expand	exp_000024	1.912602	1.909717	0.0028849999999998044	Further lowering the Muon matrix learning rate from 0.015 to 0.010 should reduce the remaining late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000026	finished	expand	exp_000005	1.919416	1.901637	0.01777899999999999	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000027	finished	merge	exp_000004,exp_000018	1.919107	1.895905	0.023201999999999945	The ideas are distinct and compatible sequential reductions of the Muon matrix learning rate: reduce it from 0.04 to 0.03, then through 0.025 to 0.02, to reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000028	finished	expand	exp_000024	1.923173	1.909717	0.013455999999999912	Lowering the Muon matrix learning rate from 0.015 to 0.01 should further reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000029	finished	expand	exp_000016	1.905898	1.902077	0.0038210000000000743	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000030	finished	expand	exp_000014	1.920629	1.90638	0.014248999999999956	Reducing the Muon matrix learning rate from 0.02 to 0.018 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000031	finished	expand	exp_000023	1.911971	1.909673	0.0022980000000001333	Reducing the Muon matrix learning rate from 0.015 to 0.010 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000032	finished	expand	exp_000021	1.91242	1.909924	0.0024960000000000537	Lowering the Muon matrix learning rate from 0.015 to 0.01 should further reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
